,ATC,tensor
611,T448X5A,"0.35716551542282104, -0.07713326066732407, -0.1344262957572937, -0.05401843786239624, 0.026873847469687462, 0.029468508437275887, 0.3172493577003479, -0.1945589780807495, 0.0025359350256621838, -0.05587552487850189, 0.2188972681760788, -0.003573034889996052, -0.041736967861652374, -0.07201585173606873, 0.25183507800102234, 0.03647841513156891, -0.03431479260325432, 0.03438412398099899, 0.26749423146247864, 0.30892401933670044, 0.21141786873340607, -0.02100907266139984, -0.023685460910201073, 0.18619099259376526, -0.13107189536094666, -0.014049353078007698, -0.08524709194898605, 0.5219407081604004, 0.03438694030046463, -0.016811683773994446, -0.09690044075250626, -0.07123826444149017, -0.05907127633690834, 0.012355522252619267, -0.28062719106674194, -0.013170941732823849, 0.15829998254776, 0.12126422673463821, 0.014466322958469391, 0.036139484494924545, -0.11949995905160904, -0.1347198188304901, 0.034334782510995865, 0.13719263672828674, -0.18288351595401764, -0.04142192378640175, 0.0823962613940239, -0.05033635348081589, 0.1943371444940567, -0.20682686567306519, 0.07799071818590164, 0.13015013933181763, -0.5062727332115173, 0.09336606413125992, -0.043238505721092224, 0.1790701299905777, -0.06128969043493271, 0.11833880841732025, -0.17916415631771088, -0.09145329147577286, 0.1730886995792389, 0.30046960711479187, 0.17210005223751068, -0.19100907444953918]"
612,T448X6A,"0.33219781517982483, -0.18990106880664825, 0.09212266653776169, -0.032935187220573425, -0.018999649211764336, 0.13150447607040405, -0.056849248707294464, -0.21864792704582214, 0.07585134357213974, -0.08796649426221848, -0.06315427273511887, 0.13169600069522858, 0.16700011491775513, -0.200516015291214, -0.0550009161233902, -0.08008937537670135, 0.0507449135184288, 0.10574683547019958, 0.4770967960357666, 0.12775322794914246, 0.35853877663612366, 0.3072381317615509, -0.1250973343849182, 0.07591530680656433, 0.14842170476913452, -0.10840842872858047, -0.1577480286359787, 0.32775962352752686, 0.10357440263032913, 0.09203381091356277, 0.13642069697380066, -0.1683577448129654, 0.1731102168560028, 0.018251826986670494, -0.02264217846095562, -0.12770384550094604, -0.08056605607271194, 0.18676871061325073, -0.22628185153007507, 0.2648777961730957, -0.36781683564186096, 0.14116720855236053, 0.16741107404232025, 0.0655011236667633, 0.17736861109733582, 0.028559833765029907, -0.16697484254837036, 0.034476540982723236, 0.48993533849716187, -0.15026763081550598, 0.16006715595722198, 0.09300485253334045, -0.2583632469177246, -0.16507375240325928, -0.17528757452964783, 0.3391638398170471, 0.2395656257867813, -0.04601164162158966, -0.19230134785175323, 0.060150302946567535, 0.37761393189430237, 0.3800777494907379, 0.3161798417568207, 0.09411316365003586]"
613,T83022A,"0.29638785123825073, -0.13073565065860748, -0.34209826588630676, 0.007452222518622875, 0.33567243814468384, -0.19296833872795105, 0.140154168009758, -0.3814997375011444, 0.22486287355422974, 0.03047693520784378, -0.0062951515428721905, 0.22210489213466644, 0.20622588694095612, -0.256305992603302, 0.012730234302580357, -0.036421287804841995, 0.0861508771777153, 0.018828406929969788, 0.14951370656490326, 0.10974984616041183, 0.2979808747768402, 0.30084070563316345, -0.07205414772033691, -0.05785145238041878, 0.054688964039087296, 0.11044665426015854, 0.008040088228881359, 0.0891730785369873, 0.1513461023569107, -0.08563287556171417, 0.060888782143592834, -0.01771877147257328, -0.0009920879965648055, -0.005308699794113636, -0.10854528099298477, 0.12885387241840363, -0.08141976594924927, 0.08391302824020386, -0.10914502292871475, 0.15921033918857574, -0.19045612215995789, -0.06851812452077866, -0.006853149738162756, -0.09305903315544128, 0.14597861468791962, 0.13502705097198486, 0.030376899987459183, -0.1774478405714035, 0.16388314962387085, -0.09373273700475693, -0.145620197057724, 0.12124068289995193, -0.388112872838974, -0.14270427823066711, 0.0897740051150322, 0.05626754090189934, 0.15638114511966705, -0.03702250495553017, 0.0515335313975811, -0.11908044666051865, 0.29811251163482666, 0.3300112187862396, 0.2650700807571411, 0.11309020966291428]"
614,T83022D,"0.42903006076812744, -0.010258058086037636, -0.15254895389080048, 0.13267414271831512, 0.14472587406635284, -0.016172923147678375, -0.14430935680866241, -0.1370350420475006, -0.08487837016582489, 0.15070268511772156, -0.18757981061935425, 0.14978644251823425, -0.02244272641837597, -0.15856486558914185, 0.14271152019500732, -0.07380513101816177, 0.10441629588603973, 0.13955846428871155, 0.42260873317718506, 0.11627199500799179, 0.27829545736312866, -0.05303151533007622, -0.14482229948043823, -0.09105807542800903, 0.11146122962236404, -0.09367591887712479, 0.06801683455705643, 0.15316301584243774, 0.1211296021938324, 0.06015198305249214, -0.1792445331811905, 0.12614180147647858, 0.14040939509868622, 0.011349400505423546, 0.11258668452501297, -0.0045797377824783325, 0.12151544541120529, 0.07594699412584305, 0.19498789310455322, 0.10100212693214417, -0.23651090264320374, 0.00493741175159812, -0.05763271823525429, -0.04786214604973793, -0.16458046436309814, -0.0009973550913855433, 0.048062317073345184, 0.10977249592542648, 0.45361778140068054, -0.2412642389535904, 0.01753355748951435, 0.06446965783834457, -0.22151435911655426, 0.020133642479777336, 0.011018967255949974, 0.15774713456630707, 0.11491739004850388, 0.008699946105480194, 0.08634427934885025, 0.021720977500081062, 0.30392205715179443, 0.3638586699962616, 0.4248456060886383, -0.22005562484264374]"
615,T83032A,"0.22552746534347534, -0.3012862503528595, -0.20527629554271698, 0.12323610484600067, 0.244330495595932, 0.05789146199822426, -0.32575348019599915, -0.14477959275245667, -0.1264554113149643, 0.021752331405878067, 0.03271480277180672, 0.26180562376976013, 0.3419455885887146, -0.2733815908432007, -0.11749055236577988, -0.07660655677318573, 0.20887041091918945, 0.061361588537693024, 0.3164401650428772, 0.3037124276161194, 0.41721516847610474, 0.2179926037788391, -0.183844655752182, -0.0718524381518364, -0.0025933461729437113, -0.13157989084720612, -0.16210846602916718, 0.08925867825746536, 0.07499273866415024, -0.005671067163348198, 0.12765800952911377, -0.09015928953886032, 0.14554722607135773, 0.12945018708705902, -0.05168378725647926, -0.07598143070936203, -0.02251826412975788, -0.07872703671455383, -0.04915183037519455, 0.07097702473402023, -0.07864328473806381, -0.0147523432970047, -0.0037678489461541176, -0.17135021090507507, -0.008955059573054314, -0.08099342882633209, -0.11798293143510818, 0.2044064849615097, 0.009752984158694744, -0.1681576818227768, 0.1978074610233307, 0.15870878100395203, -0.20740345120429993, -0.2081703096628189, 0.08375763148069382, 0.12092794477939606, 0.1948811411857605, -0.08879398554563522, 0.2789653241634369, -0.501900315284729, 0.3397209346294403, 0.3654364347457886, -0.02182561159133911, -0.38050737977027893]"
616,T83092A,"-0.0005612924578599632, 0.05942583456635475, 0.009613975882530212, 0.1560990959405899, 0.3903297781944275, -0.04710032790899277, 0.16148518025875092, 0.004384656902402639, 0.1499439775943756, 0.01850319094955921, -0.09348578006029129, 0.3008730113506317, -0.023993121460080147, -0.07313454151153564, -0.00800207257270813, 0.014382613822817802, 0.06492473185062408, 0.028493693098425865, 0.17219936847686768, 0.11789421737194061, 0.2499719262123108, 0.04565384238958359, 0.03472765535116196, 0.042898669838905334, 0.12855778634548187, 0.026810908690094948, -0.08762706816196442, 0.2583257257938385, -0.004370769020169973, 0.020594438537955284, 0.10724777728319168, 0.0715959221124649, 0.12349483370780945, -0.08662283420562744, -0.012263023294508457, -0.03337220102548599, 0.00767070846632123, 0.030702142044901848, -0.0010029776021838188, 0.265186071395874, -0.14471332728862762, 0.0027749401051551104, -0.031315773725509644, 0.19962292909622192, 0.16949424147605896, -0.0053297304548323154, -0.10070759803056717, 0.12302637845277786, -0.00490908557549119, -0.09768383204936981, -0.01780090294778347, -0.05811057984828949, -0.08041905611753464, -0.01734176091849804, 0.047738175839185715, -0.06118444353342056, -0.07834354788064957, -0.078727126121521, 0.05079841613769531, -0.04458802193403244, 0.23711806535720825, 0.3887883722782135, 0.13928470015525818, -0.11523760855197906]"
618,T8610,"0.5540072321891785, -0.11719857156276703, -0.11752653867006302, 0.04378356412053108, 0.13806557655334473, -0.04243573918938637, 0.10211855173110962, -0.1761922389268875, -0.18398809432983398, 0.12991580367088318, 0.009519065730273724, 0.19154046475887299, 0.175274059176445, -0.07281386852264404, -0.08526180684566498, 0.015170427039265633, 0.099230095744133, -0.03568129241466522, 0.2863953709602356, 0.15540502965450287, 0.2831284701824188, 0.22686943411827087, -0.33261579275131226, 0.02466917596757412, -0.015287399291992188, 0.012249674648046494, 0.1765379160642624, 0.43279755115509033, 0.22061380743980408, -0.11416003853082657, -0.10943125188350677, 0.07698747515678406, 0.05421365052461624, -0.050922609865665436, -0.007391489110887051, -0.27833372354507446, -0.2872426509857178, 0.12255332618951797, -0.14073584973812103, 0.10896867513656616, -0.2719086706638336, 0.013541081920266151, -0.001419399050064385, -0.09444122016429901, 0.07651795446872711, 0.027881624177098274, -0.13791842758655548, 0.048354730010032654, 0.1552211195230484, -0.12063054740428925, -0.10794347524642944, 0.045699626207351685, -0.10480450093746185, -0.06093819439411163, 0.0148831931874156, 0.06368009746074677, 0.06088465079665184, -0.006755347363650799, 0.08548260480165482, -0.4000023603439331, 0.03693880885839462, 0.48231959342956543, 0.3792257010936737, -0.10696812719106674]"
619,T8611,"-0.14551426470279694, -0.16090065240859985, -0.2785862982273102, 0.26112547516822815, 0.03965497761964798, 0.12855978310108185, -0.0009794263169169426, -0.13238365948200226, 0.08579330146312714, -0.23963944613933563, -0.07538028806447983, 0.06916238367557526, 0.11948718130588531, -0.04134291410446167, 0.09769639372825623, -0.20720450580120087, -0.12075932323932648, -0.005626454949378967, 0.29221755266189575, 0.24776685237884521, 0.2809237241744995, -0.06119620427489281, -0.10202766954898834, -0.11317656934261322, -0.20069870352745056, -0.02652648091316223, -0.07226197421550751, 0.34620869159698486, 0.07871314138174057, 0.09659361839294434, 0.11828669905662537, -0.07561256736516953, -0.04473835974931717, -0.17535172402858734, -0.0893753319978714, 0.2587456703186035, -0.031303685158491135, 0.0873393639922142, 0.0882510393857956, 0.17903751134872437, -0.18983043730258942, -0.10542376339435577, -0.022526603192090988, -0.17749814689159393, 0.26532307267189026, -0.21636474132537842, -0.020445983856916428, -0.37197068333625793, 0.3341555595397949, -0.17278987169265747, 0.11142485588788986, 0.2788625657558441, -0.2755027711391449, -0.21416056156158447, 0.22296644747257233, -0.044097062200307846, 0.04060491546988487, -0.05132661759853363, 0.11808254569768906, 0.1101442500948906, 0.06767597049474716, 0.4503704011440277, 0.18536971509456635, -0.00857545156031847]"
620,T8612,"-0.045434970408678055, 0.041441503912210464, -0.1850244253873825, -0.251008540391922, 0.4454854428768158, 0.09926456212997437, -0.1806342452764511, -0.04537959396839142, 0.10954921692609787, 0.16237597167491913, 0.12309035658836365, 0.028008220717310905, 0.0919194146990776, -0.08198448270559311, 0.06348797678947449, -0.03266176953911781, -0.07704690098762512, -0.1701442450284958, 0.1952105015516281, -0.06486885249614716, 0.23871120810508728, 0.2479303777217865, 0.18804658949375153, 0.2299792766571045, -0.04109615460038185, -0.050664473325014114, -0.03759705647826195, 0.16554901003837585, -0.15127664804458618, 0.04981626942753792, -0.09277648478746414, -0.06530597060918808, -0.039536476135253906, -0.03790656477212906, 0.0769687369465828, -0.02891712822020054, 0.3862288296222687, 0.19891569018363953, -0.23086322844028473, 0.18177169561386108, -0.05731416866183281, -0.06628409028053284, 0.017674650996923447, -0.053075529634952545, 0.0856161117553711, -0.06634484231472015, 0.13543082773685455, -0.038226496428251266, 0.08232570439577103, -0.043259114027023315, 0.0019176825881004333, 0.05111987516283989, -0.3493568003177643, -0.023191314190626144, -0.1927577704191208, -0.08015840500593185, 0.03163858875632286, 0.17622891068458557, -0.12465349584817886, -0.42126357555389404, 0.22712235152721405, 0.36838486790657043, 0.39981722831726074, -0.16347017884254456]"
622,T8619,"-0.11078338325023651, 0.005386873614042997, -0.2608056366443634, -0.20288680493831635, 0.3709593117237091, -0.18839213252067566, -0.009954476729035378, 0.07374827563762665, 0.01290346309542656, -0.020095523446798325, -0.07410331815481186, 0.18566739559173584, 0.2636244595050812, 0.019948504865169525, 0.016999736428260803, -0.04081352800130844, 0.04908416047692299, -0.03941292688250542, 0.048023905605077744, 0.07320008426904678, 0.18806643784046173, 0.22362396121025085, 0.008082788437604904, 0.07491233199834824, -0.013742475770413876, -0.1128256767988205, -0.2278740406036377, 0.07428579032421112, 0.00691718515008688, 0.032862063497304916, -0.0287419892847538, -0.03196977078914642, -0.03069319576025009, -0.027568727731704712, -0.02941148169338703, -0.07478991895914078, 0.06932850927114487, 0.09930575639009476, -0.040418703109025955, -0.001447484828531742, -0.13639768958091736, -0.04632055386900902, 0.034933850169181824, -0.0656556636095047, -0.18572810292243958, 0.04830235615372658, 0.11755504459142685, -0.2084394097328186, 0.6125662922859192, -0.40771907567977905, 0.21708449721336365, 0.10429853945970535, -0.537686288356781, 0.13001105189323425, -0.481134831905365, -0.05682699754834175, -0.12143481522798538, -0.030153876170516014, -0.03248303383588791, -0.10869671404361725, 0.26994723081588745, 0.39662235975265503, 0.37687063217163086, -0.13138170540332794]"
623,V1052,"0.1425708681344986, 0.14755141735076904, -0.28563469648361206, -0.11337953060865402, -0.00011084625293733552, 0.12977300584316254, -0.26822108030319214, -0.2290673851966858, -0.16474948823451996, 0.2891334593296051, -0.2772316038608551, 0.38300687074661255, 0.02096940390765667, 0.05593997612595558, -0.1206408143043518, -0.2842508554458618, 0.3093577027320862, 0.03888238966464996, 0.3099564015865326, 0.35789889097213745, 0.2079673409461975, 0.16190220415592194, -0.01809035986661911, 0.1576865017414093, 0.1052023395895958, -0.1228744238615036, 0.19107680022716522, 0.03483065590262413, -0.06717383116483688, -0.05950729548931122, -0.06652779132127762, 0.004405287094414234, 0.009470392018556595, 0.06236724928021431, 0.0550202801823616, 0.06508283317089081, 0.11481255292892456, -0.06419290602207184, -0.07732421904802322, 0.31507161259651184, -0.444536417722702, 0.10906396806240082, -0.2865230441093445, -0.09024449437856674, 0.007420455105602741, -0.2232874184846878, 0.11285214871168137, -0.2355940341949463, 0.23910608887672424, -0.07183367758989334, 0.3864244818687439, 0.26535481214523315, -0.11057154089212418, 0.20663662254810333, 0.16116859018802643, 0.08248719573020935, -0.03205939382314682, -0.13995656371116638, 0.025083396583795547, -0.5756368637084961, 0.0787019282579422, 0.3882109820842743, 0.3405736982822418, -0.26546385884284973]"
624,V1053,"0.008298556320369244, 0.1559079885482788, -0.30255645513534546, -0.19959613680839539, 0.008325168862938881, 0.05527274310588837, -0.11961556226015091, 0.021205881610512733, 0.10952868312597275, -0.015362072736024857, -0.0002582321467343718, 0.1983739733695984, 0.13410979509353638, 0.020824521780014038, 0.15042194724082947, 0.05801932513713837, -0.07129708677530289, 0.016462283208966255, 0.2832103669643402, 0.005360387731343508, 0.2443709522485733, 0.21420393884181976, -0.16221116483211517, -0.08536449074745178, 0.13885189592838287, -0.16057071089744568, -0.1256466507911682, 0.34584009647369385, 0.005152731202542782, -0.2052687108516693, 0.21214517951011658, 0.09029567986726761, -0.09910358488559723, 0.0711306631565094, -0.08083830028772354, -0.013924241065979004, 0.04823129624128342, 0.06514864414930344, -0.12895451486110687, 0.14507004618644714, -0.25917941331863403, 0.10317513346672058, 0.03885681927204132, 0.28637832403182983, 0.0636102631688118, -0.11799721419811249, -0.1434912234544754, 0.028076909482479095, 0.010391535237431526, -0.05712651461362839, -0.0157193411141634, -0.09619224816560745, -0.1856396496295929, 0.13640016317367554, 0.06601013988256454, 0.16025260090827942, 0.05690805986523628, 0.02560078166425228, 0.08804457634687424, 0.04204536974430084, 0.18914920091629028, 0.1657678633928299, 0.5824155807495117, -0.14108499884605408]"
625,V1651,"0.12790624797344208, -0.03635178133845329, -0.011901682242751122, 0.020124049857258797, 0.25390908122062683, -0.07126086950302124, 0.46503204107284546, -0.10176986455917358, -0.008795947767794132, -0.0600055530667305, -0.036610569804906845, 0.06888260692358017, -0.10357137769460678, 0.001738139078952372, -0.0419885627925396, -0.06037400662899017, 0.04405367746949196, 0.06237833946943283, 0.11269506067037582, 0.09862694889307022, 0.2460026741027832, 0.12429185956716537, -0.14192955195903778, 0.030641229823231697, -0.0739518254995346, 0.05676209554076195, -0.08499456197023392, 0.24316322803497314, 0.0664004534482956, 0.04321562871336937, 0.02047203667461872, -0.037299659103155136, -0.06512469798326492, 0.016435613855719566, 0.045057907700538635, 0.05322905257344246, -0.10612707585096359, 0.09381070733070374, 0.2100849449634552, -0.0655495673418045, -0.04701904579997063, -0.042276665568351746, 0.0028269633185118437, -0.11081606894731522, 0.005255209282040596, 0.062064312398433685, -0.02916194312274456, 0.12824344635009766, 0.1167730838060379, -0.04880406707525253, 0.0773526132106781, 0.07143709808588028, -0.09885140508413315, -0.007413983345031738, -0.08620236068964005, 0.05817120894789696, 0.01696731150150299, -0.052433814853429794, 0.07203445583581924, -0.03587880730628967, 0.16553525626659393, 0.541551411151886, 0.4092366695404053, -0.03388434275984764]"
626,V1861,"0.011398937553167343, -0.032315097749233246, -0.09437572956085205, 0.07925262302160263, 0.1952042430639267, 0.10559209436178207, -0.320125550031662, -0.16239768266677856, 0.2625735104084015, 0.13481944799423218, -0.18822722136974335, 0.0070043993182480335, 0.3094005286693573, -0.1388351023197174, -0.052245285362005234, -0.02360665798187256, 0.09574571251869202, -0.13440518081188202, 0.19645598530769348, 0.01860431395471096, 0.20372897386550903, 0.2888798713684082, -0.205508753657341, 0.1918375939130783, 0.08966168761253357, -0.1378677934408188, -0.14418426156044006, 0.19383271038532257, 0.17428599298000336, -0.18483023345470428, 0.2651645243167877, 0.04997790977358818, 0.06415681540966034, -0.01899661496281624, 0.08149847388267517, 0.06932391226291656, 0.051366083323955536, 0.10465708374977112, -0.12386371195316315, 0.1026197299361229, -0.2264491617679596, -0.10768982023000717, -0.07139452546834946, -0.12671564519405365, 0.0036916129756718874, -0.013785227201879025, 0.06261268258094788, -0.2989789843559265, 0.40562891960144043, -0.3278985619544983, -0.032120298594236374, 0.10531613230705261, -0.3775083124637604, -0.12936680018901825, 0.21288703382015228, 0.06393995136022568, 0.06000643968582153, -0.06923329085111618, -0.18803273141384125, -0.2751653790473938, 0.030453475192189217, 0.41836437582969666, 0.4965706765651703, 0.07974820584058762]"
628,V420,"0.2134784609079361, -0.14246150851249695, -0.1948927640914917, 0.20631524920463562, 0.0422641783952713, 0.015037446282804012, -0.10426263511180878, -0.1011248454451561, -0.004070081282407045, 0.03377511724829674, 0.004063337109982967, 0.023278160020709038, -0.002365081338211894, -0.10461737215518951, -0.06186731159687042, -0.11774725466966629, -0.0476120226085186, 0.16055265069007874, 0.24872764945030212, 0.2462996542453766, 0.24843598902225494, -0.03196416050195694, -0.15403352677822113, -0.12640242278575897, 0.04102496802806854, -0.07115171104669571, -0.036326855421066284, 0.05481189861893654, 0.03034789487719536, 0.13310563564300537, 0.05291616544127464, -0.18177004158496857, 0.1506207138299942, 0.040464725345373154, 0.061130866408348083, -0.2464054971933365, -0.04059269651770592, 0.08726290613412857, -0.025122592225670815, 0.10830105096101761, -0.3515215218067169, -0.0039703198708593845, 0.010861295275390148, 0.08063489198684692, -0.0710119977593422, -0.09683317691087723, -0.19670559465885162, 0.04584643617272377, 0.07717026025056839, -0.12513421475887299, 0.06263124942779541, 0.090739905834198, -0.1289384961128235, -0.18258117139339447, 0.01106870174407959, 0.04979449510574341, -0.14198391139507294, -0.12807941436767578, -0.023579420521855354, -0.4304302930831909, 0.2903168201446533, 0.2488676905632019, 0.15843935310840607, -0.003985706716775894]"
629,V451,"-0.27213406562805176, -0.0420738086104393, -0.017746539786458015, 0.1071571409702301, 0.015392454341053963, 0.0265924371778965, -0.05925915017724037, -0.09465575218200684, 0.11564315110445023, 0.15132378041744232, 0.01925109699368477, -0.05932847782969475, -0.1166292205452919, -0.09241662174463272, -0.007986849173903465, -0.004177348222583532, -0.08969762921333313, -0.12766152620315552, 0.27100837230682373, 0.12095856666564941, 0.22795036435127258, -0.02828654833137989, -0.006958069279789925, 0.08508624881505966, 0.14663049578666687, 0.11936956644058228, -0.07311533391475677, 0.07241503149271011, 0.1118658259510994, 0.1325891762971878, -0.12898342311382294, 0.002834371756762266, -0.010020623914897442, -0.13234490156173706, -0.14246506989002228, 0.06651028990745544, 0.0628071054816246, 0.25194886326789856, 0.010323169641196728, 0.18982994556427002, -0.3419159948825836, 0.0014526128070428967, -0.05884166806936264, -0.07005977630615234, 0.17823968827724457, -0.10777986794710159, 0.16278298199176788, -0.207907035946846, 0.1916145235300064, -0.046411219984292984, -0.11608479917049408, -0.03965447470545769, -0.33668413758277893, 0.34965789318084717, 0.06233520433306694, -0.13319462537765503, -0.11383291333913803, 0.09376480430364609, -0.021532626822590828, -0.15510684251785278, 0.37799587845802307, 0.37897923588752747, -0.04706553369760513, -0.22675563395023346]"
630,V4511,"0.24930179119110107, 0.044310152530670166, -0.23857736587524414, -0.2567783296108246, 0.29407787322998047, 0.08701872080564499, -0.0898338109254837, -0.03650248795747757, 0.04710136726498604, 0.019737014546990395, 0.06591934710741043, 0.056404855102300644, -0.026776257902383804, -0.01911473274230957, -0.07326305657625198, 0.05613776668906212, 0.03310132771730423, -0.10333290696144104, 0.3376372754573822, 0.32345494627952576, 0.26732710003852844, 0.21898527443408966, -0.32697418332099915, -0.18583668768405914, 0.056460071355104446, 0.14910292625427246, -0.14817501604557037, 0.22649647295475006, 0.23808704316616058, -0.047119829803705215, 0.10009423643350601, 0.03182230517268181, 0.026907319203019142, 0.1706520915031433, -0.18220047652721405, 0.15806052088737488, -0.09019781649112701, 0.09614668041467667, -0.15819372236728668, 0.23380446434020996, -0.07638109475374222, -0.20494265854358673, 0.0902697741985321, -0.052753183990716934, -0.0452129989862442, -0.08560382574796677, -0.19410210847854614, -0.23211334645748138, 0.2655986547470093, -0.15646204352378845, -0.015188263729214668, 0.011276434175670147, -0.06718221306800842, -0.07880950719118118, -0.3092729449272156, -0.07653120905160904, 0.01332446001470089, 0.08353745937347412, -0.11099444329738617, 0.01822769269347191, 0.29694822430610657, 0.6262116432189941, 0.1862226277589798, 0.015700018033385277]"
633,Y841,"0.053697023540735245, 0.07508919388055801, -0.17387251555919647, 0.07659060508012772, 0.3351321518421173, -0.001608366845175624, -0.15192793309688568, 0.011644057929515839, 0.0399182066321373, 0.13246099650859833, -0.06417633593082428, -0.17469854652881622, 0.06454674154520035, 0.19237029552459717, 0.023290418088436127, -0.08564332872629166, 0.03859731927514076, 0.04300187528133392, 0.27452749013900757, 0.1742343008518219, 0.5570346117019653, 0.15785877406597137, -0.31917354464530945, -0.11271700263023376, 0.07758878916501999, -0.12355735898017883, -0.18634822964668274, 0.07432589679956436, 0.11837942898273468, -0.04788655415177345, 0.0665905550122261, -0.07738760858774185, 0.11411618441343307, -0.10183901339769363, -0.2807910144329071, -0.05463215336203575, -0.10906384885311127, 0.10946187376976013, 0.12924621999263763, 0.17670194804668427, -0.16859765350818634, -0.15052855014801025, -0.1219291090965271, -0.11420797556638718, 0.268985390663147, 0.041641511023044586, -0.15140292048454285, 0.22552065551280975, 0.12032642960548401, -0.021078908815979958, -0.17328497767448425, -0.1706765592098236, -0.12692181766033173, -0.15638789534568787, -0.07824642211198807, 0.03195285052061081, -0.01742946170270443, 0.11589779704809189, -0.14506742358207703, -0.08727767318487167, 0.19023212790489197, 0.35576140880584717, 0.40279850363731384, 0.211415633559227]"
634,Z4822,"0.16440868377685547, -0.11473172903060913, -0.05218198895454407, 0.07534842938184738, 0.16290029883384705, 0.1916574239730835, 0.0479700043797493, -0.030823448672890663, -0.030526472255587578, 0.0914338156580925, 0.0505305640399456, -0.037838179618120193, -0.01400512084364891, -0.07234935462474823, -0.09871217608451843, 0.018115267157554626, -0.04697487875819206, -0.028678569942712784, 0.06855833530426025, -0.03804200515151024, 0.28074657917022705, 0.09942364692687988, -0.06544038653373718, 0.24785096943378448, 0.15654486417770386, 0.18247674405574799, 0.029268793761730194, 0.2966727018356323, -0.2755935788154602, -0.02148480899631977, 0.1092461422085762, -0.021269259974360466, 0.05150523781776428, -0.1448131501674652, -0.16178059577941895, 0.10701072961091995, -0.1473170965909958, -0.19965501129627228, -0.08160777390003204, 0.2131771594285965, -0.3832820653915405, -0.12501531839370728, -0.08445482701063156, 0.015326849184930325, 0.19188423454761505, -0.173628568649292, 0.0459640771150589, -0.1489104926586151, 0.19212424755096436, -0.20707999169826508, 0.019979851320385933, -0.029346216470003128, -0.2726147472858429, 0.10625415295362473, -0.1160343736410141, 0.05637095496058464, 0.07623031735420227, 0.05975169315934181, -0.07864921540021896, -0.37029406428337097, 0.06327452510595322, 0.4884103536605835, 0.3752113878726959, 0.14056837558746338]"
636,Z8271,"0.22483645379543304, 0.03750833496451378, 0.029210422188043594, -0.07670161873102188, 0.39126354455947876, 0.1232609897851944, -0.18101222813129425, -0.048812445253133774, -0.0023345514200627804, -0.09132111072540283, -0.13765092194080353, -0.2219315767288208, -0.01877431385219097, 0.05667569115757942, -0.07002712786197662, -0.1843913197517395, 0.23844625055789948, -0.261061429977417, -0.10387317091226578, 0.2319878786802292, 0.30927732586860657, 0.2467377930879593, 0.15756385028362274, 0.007160841953009367, 0.1365058869123459, 0.008552885614335537, -0.19630791246891022, -0.10106014460325241, 0.0785987451672554, -0.24065372347831726, 0.27455753087997437, -0.25921791791915894, 0.24534094333648682, -0.0757775753736496, 0.01257469691336155, -0.017890140414237976, 0.20074211061000824, 0.2754359245300293, -0.021495414897799492, 0.18851116299629211, 0.029271725565195084, 0.2635204792022705, -0.07168763130903244, -0.026284996420145035, 0.01338358037173748, -0.0818614736199379, -0.058679722249507904, -0.02633197419345379, 0.32352012395858765, -0.2904379367828369, 0.18494760990142822, -0.19014741480350494, -0.08541949093341827, 0.011762108653783798, 0.10554999113082886, -0.19019635021686554, 0.1445511132478714, -0.0459168367087841, 0.014657777734100819, -0.32461777329444885, 0.20140805840492249, 0.3372099995613098, 0.4259214699268341, 0.014104449190199375]"
637,Z841,"0.27231135964393616, -0.15450923144817352, -0.2999642491340637, 0.13357798755168915, 0.08009703457355499, -0.27196240425109863, 0.07438794523477554, -0.17123404145240784, -0.10653437674045563, -0.13477565348148346, 0.2071063220500946, -0.17025792598724365, 0.2019147127866745, 0.04213276132941246, 0.12184552103281021, -0.13263283669948578, 0.019073722884058952, -0.08596598356962204, 0.09242338687181473, 0.2959277629852295, 0.26685255765914917, 0.3684133291244507, -0.22236469388008118, -0.1486155390739441, -0.125182643532753, 0.1158156767487526, -0.019174352288246155, 0.07469333708286285, 0.05200193077325821, -0.06025214120745659, 0.06562397629022598, -0.1116744801402092, -0.1359151303768158, -0.038028426468372345, -0.24076305329799652, -0.24366281926631927, 0.043023645877838135, 0.2175826132297516, -0.28657013177871704, 0.19257278740406036, -0.11392904818058014, -0.11486378312110901, -0.008500220254063606, -0.1847110539674759, 0.009014496579766273, 0.04251706600189209, -0.16420122981071472, 0.10047344863414764, 0.49850109219551086, -0.027936631813645363, 0.16209182143211365, -0.00344947655685246, -0.41133102774620056, -0.11861076951026917, -0.09980154782533646, 0.1884872019290924, -0.2169371247291565, 0.12966486811637878, 0.24668049812316895, -0.22930772602558136, 0.5199323892593384, 0.6433241367340088, -0.20888854563236237, 0.10204941034317017]"
